ano;nome_uf;codigo_uf;sigla_uf;nome_regiao;codigo_regiao;familia;denominacao;quantidade
1999;Paraíba;25;PB;Nordeste;2;Cédulas - 1a. família;100;1
1999;Paraná;41;PR;Sul;4;Cédulas - 1a. família;5;41
1999;Paraná;41;PR;Sul;4;Cédulas - 1a. família;10;225
1999;Paraná;41;PR;Sul;4;Cédulas - 1a. família;50;444
1999;Paraná;41;PR;Sul;4;Cédulas - 1a. família;100;74
1999;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;1;4
1999;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;5;34
1999;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;10;328
1999;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;50;85
1999;Pernambuco;26;PE;Nordeste;2;Cédulas - 1a. família;100;7
1999;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;5;4
1999;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;10;60
1999;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;50;37
1999;Piauí;22;PI;Nordeste;2;Cédulas - 1a. família;100;1
1999;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;5;162
1999;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;10;1621
1999;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;50;2229
1999;Rio de Janeiro;33;RJ;Sudeste;3;Cédulas - 1a. família;100;45
1999;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;5;3
1999;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;10;71
1999;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;50;22
1999;Rio Grande do Norte;24;RN;Nordeste;2;Cédulas - 1a. família;100;5
1999;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;5;22
1999;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;10;256
1999;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;50;244
1999;Rio Grande do Sul;43;RS;Sul;4;Cédulas - 1a. família;100;38
1999;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;1;1
1999;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;5;1
1999;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;10;97
1999;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;50;122
1999;Rondônia;11;RO;Norte;1;Cédulas - 1a. família;100;14
1999;Roraima;14;RR;Norte;1;Cédulas - 1a. família;10;1
1999;Roraima;14;RR;Norte;1;Cédulas - 1a. família;50;7
1999;Roraima;14;RR;Norte;1;Cédulas - 1a. família;100;1
1999;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;5;6
1999;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;10;94
1999;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;50;200
1999;Santa Catarina;42;SC;Sul;4;Cédulas - 1a. família;100;7
1999;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;1;4
1999;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;5;193
1999;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;10;6465
1999;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;50;2674
1999;São Paulo;35;SP;Sudeste;3;Cédulas - 1a. família;100;295
1999;Sergipe;28;SE;Nordeste;2;Cédulas - 1a. família;10;8
1999;Sergipe;28;SE;Nordeste;2;Cédulas - 1a. família;50;4
1999;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;5;4
1999;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;10;119
1999;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;50;21
1999;Tocantins;17;TO;Norte;1;Cédulas - 1a. família;100;7
2000;Acre;12;AC;Norte;1;Cédulas - 1a. família;10;25
2000;Acre;12;AC;Norte;1;Cédulas - 1a. família;50;136
2000;Acre;12;AC;Norte;1;Cédulas - 1a. família;100;15
2000;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;1;4
2000;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;5;104
2000;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;10;1344
2000;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;50;882
2000;Alagoas;27;AL;Nordeste;2;Cédulas - 1a. família;100;101
2000;Amapá;16;AP;Norte;1;Cédulas - 1a. família;10;6
2000;Amapá;16;AP;Norte;1;Cédulas - 1a. família;50;4
2000;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;5;76
2000;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;10;810
2000;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;50;702
2000;Amazonas;13;AM;Norte;1;Cédulas - 1a. família;100;220
2000;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;1;13
2000;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;5;851
2000;Bahia;29;BA;Nordeste;2;Cédulas - 1a. família;10;8202
