"ano";"turno";"tipo_eleicao";"sigla_uf";"id_municipio";"id_municipio_tse";"cargo";"sigla_partido";"numero_candidato";"sequencial_candidato";"id_candidato_bd";"resultado";"votos"
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12007;10000602314;1543221;"suplente";166
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12347;10000602315;225858;"suplente";583
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12171;10000602316;479240;"suplente";401
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12456;10000602319;216870;"suplente";748
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12888;10000602320;766977;"suplente";62
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12777;10000602321;1287934;"nao eleito";0
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12555;10000602322;1203445;"suplente";617
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12987;10000602323;1662139;"suplente";121
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PDT";12789;10000602324;660681;"suplente";1836
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31300;10000603903;1555010;"suplente";370
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31100;10000603904;1411275;"suplente";429
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31333;10000603905;768609;"suplente";741
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31444;10000603906;797112;"eleito por qp";3382
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31888;10000603907;1208306;"suplente";722
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31031;10000603908;1225873;"suplente";2900
2018;1;"eleicao ordinaria";"AC";NA;NA;"deputado estadual";"PHS";31131;10000603909;1375534;"suplente";552
